transaction_id,customer_id,sender_account,receiver_account,receiver_name,receiver_bank,merchant_category,merchant_name,amount,payment_method,transaction_time,transaction_location,transaction_country,transaction_status,currency
TXN_D38BDF984D4D,CUST_3D000F3782B4,AC484194737,REC_AC643623,Gita Chatterjee,PNB,Retail,Local Kirana,19471.68,Debit Card,2026-06-16 19:45:02,Gurgaon,India,Success,INR
TXN_2295E7C55BD6,CUST_166BFE400FBB,AC969119330,REC_AC218972,Sai Kumar,Axis Bank,Food,Zomato,1637.86,Credit Card,2026-06-16 19:53:02,Ahmedabad,India,Success,INR
TXN_DAA1C6F74650,CUST_88003A890783,AC675832441,REC_AC632401,Aarav Menon,PNB,Retail,Local Kirana,197.26,Net Banking,2026-06-16 20:18:02,Hyderabad,India,Success,INR
TXN_35F8791046A6,CUST_6E9FB0F33173,AC851044796,REC_AC530728,Mahesh Chatterjee,PNB,Electronics,Croma,325.31,Debit Card,2026-06-16 20:40:02,Lucknow,India,Success,INR
TXN_D7BA30471679,CUST_8966A3CE4048,AC950488739,REC_AC592296,Diya Desai,PNB,Groceries,D-Mart,930.61,IMPS,2026-06-16 21:36:02,Bengaluru,India,Success,INR
TXN_97C3B88B7E72,CUST_166838FFAEA4,AC155926488,REC_AC440131,Karan Joshi,ICICI Bank,Electronics,Croma,3437.68,UPI,2026-06-16 22:32:02,Bengaluru,India,Success,INR
TXN_6AE899426028,CUST_A274A25A299E,AC465830215,REC_AC401603,Rohan Patel,Axis Bank,E-commerce,Flipkart,40851.25,UPI,2026-06-16 23:12:02,Ahmedabad,India,Failed,INR
TXN_A4B45C9B7F81,CUST_C6FAC3E395B8,AC866162966,REC_AC108491,Suresh Verma,Kotak Mahindra,Food,Swiggy,1296.83,IMPS,2026-06-17 00:07:02,Chennai,India,Success,INR
TXN_76371F132D7A,CUST_99B31E34B435,AC110002396,REC_AC562236,Isha Kumar,HDFC Bank,Travel,MakeMyTrip,1225.68,IMPS,2026-06-17 00:47:02,Kolkata,India,Success,INR
TXN_B137A9F10C82,CUST_5A5043D289DC,AC345824373,REC_AC247594,Rahul Desai,Yes Bank,Groceries,Reliance Smart,4316.75,Debit Card,2026-06-17 01:41:02,Mumbai,India,Success,INR
TXN_110ADCBE06C4,CUST_24ED2A165FC1,AC101815992,REC_AC332120,Rajesh Bose,PNB,E-commerce,Flipkart,25221.26,UPI,2026-06-17 02:19:02,Mumbai,India,Success,INR
TXN_986F9F8F6B37,CUST_166838FFAEA4,AC155926488,REC_AC440131,Karan Joshi,ICICI Bank,Groceries,Reliance Smart,3425.18,UPI,2026-06-17 03:16:02,Bengaluru,India,Success,INR
TXN_1B0C50ECD949,CUST_770111A024A1,AC438817025,REC_AC726152,Sita Iyer,SBI,E-commerce,Flipkart,5064.03,Debit Card,2026-06-17 03:51:02,Delhi,India,Success,INR
TXN_FEF3C7A6EBA6,CUST_ACBB55076F6F,AC538460431,REC_AC793169,Arjun Sharma,ICICI Bank,E-commerce,Amazon India,1058.16,Net Banking,2026-06-17 04:13:02,Kolkata,India,Success,INR
